Human Resources Management System Project Gantt Chart            S275931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Phase,Task Name,Start Date,End Date,Assigned,Progress,01.03.24,02.03.24,03.03.24,04.03.24,05.03.24,06.03.24,07.03.24,08.03.24,09.03.24,10.03.24,11.03.24,12.03.24,13.03.24,14.03.24,15.03.24,16.03.24,17.03.24,18.03.24,19.03.24,20.03.24,21.03.24,22.03.24,23.03.24,24.03.24,25.03.24,26.03.24,27.03.24,28.03.24,29.03.24,30.03.24,31.03.24,01.04.24,Colour Legend,
Initiation,Write Project Charter,01.03.24,01.03.24,"Project Manager, Steering Committee, Project Sponsor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekend
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiation,Feasibility Study,01.03.24,01.03.24,"Steering Committee, Project Sponsor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned Timeline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiation,Define Scope,01.03.24,01.03.24,Steering Committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actual Timeline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiation,Kick-off Meeting,01.03.24,01.03.24,"Project Manager, Steering Committee, Project Sponsor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Create Project Management Plan,04.03.24,05.03.24,Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panning,Create Financial Plan,04.03.24,05.03.24,"Project Sponsor, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Create Resource Plan,04.03.24,05.03.24,"Project Manager, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Create Quality Plan,04.03.24,05.03.24,Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Conduct Risk Assessment,04.03.24,05.03.24,Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Create Risk Management Plan,04.03.24,05.03.24,Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Create Acceptance Plan,04.03.24,05.03.24,Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning,Create Procurement Plan,04.03.24,05.03.24,Project Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Cast Project Vision and Team Leadership,06.03.24,06.03.24,"Project Manager, Project Sponsor, Tech Leads, Team Leaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Create Tasks,06.03.24,06.03.24,"Project Manager, Team Leaders, Tech Leads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Brief team members on their tasks,06.03.24,06.03.24,"Project Manager, Team Leaders, Tech Leads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Plan and design software,07.03.24,08.03.24,"Software Designers, Software Engineers, UI/UX Designers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,"Develop, Code and Debug software",11.03.03,22.03.24,"Frontend and Backend Programmers, Software Engineers, Database Developers,  DevOps Engineers, Cybersecurity Specialists",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Build Software,13.03.24,22.03.24,"DevOps Engineers, Frontend and Backend Programmers, Software Engineers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Test Software,13.03.25,22.03.24,"Testers, Cybersecurity Specialists, Software Engineers, DevOps Engineers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Deploy and Release Software,25.03.24,25.03.24,"DevOps Engineers, Software Engineers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Receive Client Feedback,06.03.24,25.03.24,"Project Manager, Team Leaders, Tech Leads, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Quality Assurance for Deliverables,25.03.24,25.03.24,"Project Manager, Testers, Tech Leads, Team Leaders, Software and DevOps Engineers, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Execution,Communicate with team members and stakeholders,06.03.24,25.03.24,"Project Manager, Team Leaders, Tech Leads, Steering Committee, Project Sponsor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and Control,Risk Management,26.03.24,29.03.24,"Project Manager, Tech Leads, Project Sponsor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and Control,Acceptance Management,26.03.25,29.03.25,"Project Manager, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and Control,Cost Management,26.03.26,29.03.26,"Project Manager, Project Administrators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and Control,Quality Assurance,26.03.27,29.03.27,"Project Manager, Testers, Tech Leads, Team Leaders, Software and DevOps Engineers, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and Control,Change Management,26.03.28,29.03.28,"Steering Committee, Project Sponsor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitoring and Control,"Repeat planning, execution and monitoring phases if necessary (agile lifecycle)",Optional,Optional,All Team Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure,Project Performance Analysis,01.04.24,01.04.24,"Project Sponsor, Project Administrators, Project Manager, Steering Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure,Team Analysis,01.04.24,01.04.24,"Project Manager, Tech Leads, Team Leaders, Project Administrators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure,"Project Closure documentation, handover and signoff",01.04.24,01.04.24,"Steering Committee, Project Sponsor, Project Manager, Project Administrators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closure,Evaluation and Lessons Learnt,01.04.24,01.04.24,"Project Sponsor, Project Manager, Project Administrators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
